research_team_id,rt_hypothesis,estimate,standard_error,t_value,stage,first_principle_component_team_quality,reproducibility_score,average_rating_by_peers_after_removing_peer_fixed_effect
LZHZ,1,-0.464,0.229,-2.0262008,1,-1.674732751,1,-1.807142857
LZWO,1,-2.297,1.93,-1.1901554,1,1.108498765,1,-2.755555556
MFWS,1,1.825,3.625,0.50344825,1,1.269815368,1,1.75
MLNS,1,-11.398,9.264,-1.2303541,1,-0.575672989,0,-0.142857143
MOUZ,1,2.964,0.533,5.5609756,1,1.719284137,0,1.564285714
MRYE,1,-2.333,2.172,-1.0741252,1,1.719284137,1,1.921428571
MSBZ,1,-0.362,0.179,-2.0223463,1,1.119992445,0,-0.605555556
NCBZ,1,-1.785,1.797,-0.99332219,1,1.569461214,0,-0.321428571
NCPN,1,2.673,0.698,3.8295128,1,-2.1356952,0.25,3.014285714
NDCU,1,8.595,5.09,1.6886051,1,-1.824555674,1,-2.134920635
NEJA,1,-2.412,2.837,-0.85019386,1,-1.474610527,1,0.2
NHZL,1,11.507,0.952,12.087185,1,-0.775795213,1,-0.957142857
NOLD,1,2.229,3.581,0.62245184,1,1.419638291,1,1.278571429
NPJH,1,-2.173,1.126,-1.9298401,1,-0.937111816,0.5,-3.114285714
NRJN,1,-4.258,4.778,-0.89116788,1,0.471448408,0,2.481746032
NSPO,1,0.576,1.537,0.37475601,1,-1.524909828,1,-1.634920635
NUYK,1,-2.177,0.006755,-322.27979,1,-0.937111816,1,0.472222222
OATA,1,-83.141,59.608,-1.394796,1,-1.995726893,0.75,-2.285714286
OCTX,1,-8.541,8.751,-0.97600275,1,-0.62597229,0,-1.860714286
ORMQ,1,-0.681,2.533,-0.26885116,1,-1.375086905,0.25,-0.328571429
OSIC,1,-2.454,0.874,-2.8077803,1,0.598876079,0.75,0.542857143
OWMB,1,-135.236,44.652,-3.028666,1,0.610369759,0,0.978571429
OYIG,1,-3.245,1.569,-2.0681963,1,2.018929983,1,-2.2
PDMO,1,-0.586,0.6,-0.97666669,1,-0.775795213,0.75,-0.757142857
PEJY,1,-77.103,47.534,-1.6220599,1,1.707790457,1,-1.814285714
PHXZ,1,-2.381,0.485,-4.9092784,1,0.183296242,0.75,3.264285714
PKYR,1,-1.526,1.285,-1.1875486,1,2.018929983,1,-2.612698413
PRJG,1,-18.84,26.861,-0.70138866,1,-0.775795213,1,1.635714286
PUBS,1,-8.521,4.249,-2.0054131,1,-1.524909828,1,1.121428571
PVCC,1,187.877,59.223,3.1723654,1,-0.425850066,0,2.317460317
QBYX,1,0.181,0.855,0.21169591,1,0.183296242,1,0.078571429
QDZZ,1,-58.495,0.444,-131.7455,1,1.569461214,0,1.615079365
QFYA,1,-42.546,203.42,-0.20915347,1,1.569461214,0,-1.835714286
QKTL,1,-25.37,27.765,-0.91374034,1,0.910015605,1,0.796428571
QLBB,1,1.21,2.744,0.44096211,1,2.018929983,1,1.514285714
QLGC,1,2.523,4.82,0.523444,1,-1.824555674,0,-3.192857143
QLQL,1,-0.641,5.416,-0.11835303,1,-2.295372739,0.25,-0.906349206
QLWV,1,-11.849,18.319,-0.64681476,1,-0.725495912,0.5,-0.075
QTPF,1,16.567,64.995,0.25489652,1,-1.225263982,0,0.007142857
QWAS,1,-2.522,0.392,-6.4336734,1,2.018929983,0,3.214285714
QXPZ,1,4.446,14.43,0.30810812,1,-0.326326444,1,-2
RDFJ,1,-22.153,17.437,-1.2704594,1,1.569461214,1,-0.514285714
RLPD,1,-0.71,0.018,-39.444443,1,-1.84590397,0.25,-4.907142857
RQFZ,1,-0.941,0.371,-2.5363882,1,0.333119165,0,0.75
SDJW,1,0.21,2.374,0.0884583,1,-1.83441029,0.75,-0.621428571
SDKG,1,-1.08,0.137,-7.8832116,1,1.86910706,0.25,1.1
SEPC,1,4.35,10.48,0.41507635,1,-2.134056136,0.25,-1.178571429
SYUY,1,-1.59,3.352,-0.47434369,1,-0.787288893,1,1.7
TBGV,1,2.374,3.721,0.63800055,1,1.719284137,0,-1.814285714
TJQM,1,0.818,0.531,1.5404897,1,-1.824555674,1,-0.935714286
TKJI,1,-11.605,6.247,-1.8576916,1,-1.84590397,1,0.738888889
TOPR,1,-6.322,1.318,-4.7966614,1,0.011078067,0,0.914285714
TURQ,1,-1.439,0.63,-2.284127,1,-1.524909828,0.75,1.4
TWZE,1,-12.177,0.524,-23.23855,1,2.018929983,0,-1.485714286
TXCM,1,21.088,12.382,1.7031174,1,-1.174964681,0.75,0.703174603
TXFR,1,-0.874,0.109,-8.0183487,1,1.707790457,1,0.742857143
TXXS,1,-10.863,4.625,-2.3487568,1,0.782587934,0,2.671428571
UFAO,1,-171.1,112.2,-1.5249554,1,-1.075441059,1,-2.384126984
UISV,1,0.002596,0.002249,1.1542908,1,-2.733347828,1,-2.85
